Text,Sentiment
 - any day now. When it gets below 61.60.   ,0
"  Elephant hunting ISG, PCN, AMZN, A point and figure review, high risk , define loss w opt  ",0
  FDX double toppoing  BEAISH MONTHY GATEY pattern....time to exit ..,0
  ISG An update to our Feb 20th video review..if it closes below 495 much lower to come soon  ,0
"---------------------------------------------------------------------- -------------- Munich , 14 January 2008 : BAVARIA Industriekapital AG closed the acquisition of Elcoteq Communications Technology GmbH in Offenburg , Germany , with the approval of the",0.5
  On Jan 24th we posted this video on aapl....no change...be careful...   ,0
"  PAT ONE ES, SPY update  ",0
"  SPY,IYT, FDX, PS A closer examination of transports and market best to have seen 2 prev vid  ",0
  The rodeo clown sent BK screaming into the SI weekly red zone...time to peel away before it turns...,0
"  We explain in the Jan 24th aapl video how not to be gaffed by the operators,...fish hooks...aapl might be great co , but broken sto",0
" , ES,SPY, Ground Hog Week, distribution at highs..  ",0
" also not very healthy, fell back below DT line after breaking it, SI weak, MACD turning down  ",0
"- Among other Finnish shares traded in the US , Stora Enso closed 0.33 pct lower at 12.11 eur , UPM-Kymmene was up 0.28 pct at 18.10 eur , and Metso was down 0.13 pct at 31.06 eur .",0.5
 Bear flag?  from  ,0
"- BEIJING XFN-ASIA - Hong Kong-listed Standard Chartered Bank said it has signed a China mobile phone dealer financing agreement with Nokia , making it the first foreign bank to offer financing to the country 's small and medium enterprise -LR",1
 blog post  ,0
- Cash flow from operating activities before investments was EUR 0.8 -1.2 million .,0.5
- Cash flow from operating activities before investments was EUR 7.6 million EUR 2.5 million .,0.5
-- Christine Idzelis EQT Partners sheds Salcomp Swedish financial investor EQT Partners is selling a majority of its stake in mobile phone charger manufacturer Salcomp Oyj to Nordic investment company Nordstjernan AB .,0.5
- Counter your competitor 's strengths and target their weaknesses .,0.5
 Cup and Handle setup.  Can nibble some above 180 and then 182.50  ,1
"- Demand for fireplace products was lower than expected , especially in Germany .",0
 easy look at last 3 yrs annual income data:  ,1
" ES SPY, S Part three final update..hedge and define risk ...  ",0
" ES, S  PAT TWO, update  ",0
" ES,EC,JNK,DAX  Is the S&P diverging from other key mkts? The canaries?  ",0
 from watch list on volume of 50% of ave full day a bit over line  ,1
" Holding horz support, BB squeeze, rising vol. watching to clear 200 sma 68.33  ",1
 https://t.co/8v5PfdJlDX via @WSJ",0
- I am pleased that Bjorn Wahlroos has accepted the nomination .,1
"- Inge Larsen (CFO), 29,045 shares , representing 0.50 % of the share capital .",0.5
- Moody 's said it gave P A1 long-term senior unsecured and P P-1 short-term debt ratings to Finnish lender Aktia Bank 's EUR1bn USD1 .4 bn euro medium-term note EMTN program of 25 March 2011 .,0.5
 MT BEAV --- all setting up for possible higher prices,1
- Net sales for the period are expected to fall well below that of last year and the result after non-recurring items is expected to be in the red .,0
 NEW Blog Post: Technical Analysis of Barron's BBBY BCM GPW GNW YV P SBX SSW CP CSX KMP KS NSC MP,1
- Operating profit rose by 26.9 % to EUR 105.8 ( 83.4 ) million .,1
 Over 64.05 may need to rest first  ,1
 PCN doulble top at key fib retracement weekly....time to exit ...,0
- Profit before taxes was EUR 105.9 82.7 million .,0.5
- Provides summary of the medical equipment pipeline products that the company is developing .,0.5
" red, not ready for break out.",0
"- So , the sales growth of cars considerably influence on the tires market '' .",0.5
